QUERY,id
[intraorganic lymphatic bed of the parotid gland in man].,273
" when frozen convenience food is grilled there is no opportunity for the soluble oxalates to be leached out into the cooking water and discarded. soluble oxalates, when consumed, have the ability to bind to calcium in the spinach and any calcium in foods consumed with the spinach, reducing the absorption of soluble oxalate",274
"coronary heart disease (chd) is the most common type of heart disease and cause of heart attacks. this study investigated the epidemiological characteristics of chd and its risk factors in jiaozhou, shandong province, to ultimately find a way of reducing the prevalence of cardiovascular disease, and to provide a theoretical basis for establishing a cardiovascular disease management path under the regional medical collaborative mechanism",275
predictors of transient congenital hypothyroidism in children with eutopic thyroid gland.,276
 changes from pre-exercise baseline were analyzed using linear mixed modeling. map was 8+/-1 mm hg lower following int compared with cont exercise (p<0,277
"5 µg ml(-1)), t. rubrum (mic 625 µg ml(-1)), gram-positive bacteria b",278
 the number of occlusal interferences increased between 12 and 15 years of age. both occlusal interferences and clinical signs of cmd were inconsistent in nature,279
why elliptical stability diagrams are not related to protein conformational disorder.,280
" at the end of the experiment, it appeared that 10 of the 16 installed noncoated implants had failed while of the 48 ca-p-coated implants, only 6 had failed. all successful implants were retrieved and prepared for histomorphometrical evaluation of the bone and gingiva response",281
[mucocutaneous leishmaniasis americana; trial treatment with terramycin].,282
cytoprotective effects of ulinastatin against hypoxic injury to llc-pk1 cells.,283
 the level of this exceeding depends on the dynamic surface tension. the lower the value of the dynamic surface tension the larger the level of this exceeding,284
splicing by overlap extension pcr to obtain hybrid dna products.,285
"difluoromethylornithine (dfmo), an inhibitor of polyamine synthesis, was shown to act synergistically with a nsaid for chemoprevention of colorectal neoplasia. we determined the efficacy and safety of dfmo plus aspirin for prevention of colorectal adenomas and regression of rectal aberrant crypt foci (acf) in patients with prior advanced adenomas or cancer",286
"central venous catheters are essential to management of cancer patients. thrombotic complications are potentially severe, but it is difficult to prescribe systematically a prophylactic treatment",287
" we conclude that because cystogenesis is the central factor leading to kidney enlargement, tkv appears to be an appropriate biomarker and is gaining wider acceptance. several studies have identified tkv as a relevant imaging biomarker for monitoring and predicting disease progression and support its use as a prognostic end point in clinical trials",288
8 gy and the median total dose was 50.4 gy (range 25,289
"28, p = 0.07; or 8",290
" intake of riboflavin, however, was negatively associated with allergy (or=0.00, 95% ci:0",291
redefining abnormal follicle-stimulating hormone in the male infertility population.,292
 these measured fingerprints support that atomistic reaction dynamics cannot be predicted based on stationary arguments alone.,293
ocular examination cart for the operating room.,294
 these results suggest that the mitochondrial mutations ts1297 and ts902 are both involved in the interaction of the large and small ribosomal subunits.,295
computational approaches for discovery of mutational signatures in cancer.,296
 they must therefore master the processes of outpatient surgery and those of enhanced recovery after surgery. their skills need to be upgraded,297
" one main reason for the gap in our knowledge is the lack of adequate cell culture systems as models for the investigation of rodent-borne (robo) viruses in vitro. therefore we established and characterized a new cell line, bvk168, using the kidney of a bank vole, myodes glareolus, the most abundant member of the arvicolinae trapped in germany",298
" mortality was similar for patients requiring both invasive and non-invasive ventilation and non-invasive ventilation alone (21% compared with 20% respectively, p=0.56)",299
" the comparison of immunocytochemistry and immunohistochemistry and flow cytofluorometry established absence of expression of cd5, cd3, cd10, cd34, cd23, bcl6, tdt, cyclin d1. under immunocytochemistry and immunohistochemistry in ten cases proliferative activity protein ki-67made up no more than 30%",300
" these and other clinical benefits of tcis are discussed, together with the safety profiles of tacrolimus and pimecrolimus and their use in clinical practice. in addition, this review summarizes findings from the many trials carried out with these agents and outlines how tcis can provide long-term treatment and control of a chronic skin disease that may persist for years",301
" in this study, we confirmed that lncrna brain-derived neurotrophic factor antisense (bdnf-as) was downregulated in glioblastoma tissues and cells, interacted and stabilized by polyadenylate-binding protein cytoplasmic 1 (pabpc1). overexpression of bdnf-as inhibited the proliferation, migration, and invasion, as well as induced the apoptosis of glioblastoma cells",302
 <b>materials and methods:</b><i>salmonella</i> strains isolated from patients in 2009 to 2015 and lettuce samples in 2014 in burkina faso were serotyped using specific antisera. all strains were subjected to a set of 14 antibiotics to study their antibiogram by using baeur-kirby disk diffusion method,303
 mycobacterium blood culture is a most valuable tool contributing to the diagnosis of infectious agents in this condition. the guidelines of 1997 usphs/idsa should be followed to give chemoprophylaxis against dmac disease in patients with advanced hiv infection and a cd4 count less than 50 cells/mm3,304
" embryonic stem (es) cells come from the inner mass of the blastocyst prior its implantation to the uterine wall. because of their capacity to differentiate into all germ layers, and so into all tissues of the body, es cells represent the best model by which to study earliest stages of bone cell differentiation",305
"the ability of superabsorbent polymers (sap) in drying maize and controlling aflatoxin contamination was studied under different temperatures, drying times and sap-to-maize ratios. temperature and drying time showed significant influence on the aflatoxin formation",306
" last, anger syndromes like hb have been identified, with various names, in other cultures. by reducing the cultural variation of hb and integrating the common clinical correlates of the syndromes related to anger, a new anger disorder for the mood of anger can be conceptualized, like that for other mood disorders for the corresponding pathological moods",307
 tamsulosin induced a greater improvement in total spi (-5.2 points or -37%) compared to finasteride (-4,308
" of the 69 samples collected, 16% had detectable elemental carbon concentrations, where all but one was taken within the vehicle bay (range: &lt;0.5&#8201;&#181;g/m<sup>3</sup>-2",309
" in monocotyledonous poaceae, (1-->3),(1-->4)-beta glucans, instead of xyloglucans, were shown to play a role as anti-gravitational polysaccharides. these polysaccharides are also involved in plant responses to other environmental factors, such as light and temperature, and to some phytohormones, such as auxin and ethylene",310
 the exposure of cisplatin- and gentamycin-treated cultures to the ar-o2 atmosphere significantly reduced the hair cell damage by up to 25%. this protective effect of ar might provide a new protective approach against ototoxic processes,311
"639, p = 0.002), precuneus (partial σ = -0",312
 the main aim of this review article was to set forth the merits and demerits of the action of p-gp on cancer cells as well as on normal cells. the influence of p-gp on cancer drug delivery and the contribution of p-gp to activating drug resistance were also mentioned,313
canavanine-induced decrease in nitric oxide synthesis alters activity of antioxidant system but does not impact s-nitrosoglutathione catabolism in tomato roots.,314
 gill and skin mucus samples were obtained from atlantic salmon (salmo salar) which were infected with n. perurans on four successive occasions,315
" after that the total number of serotonergic neurons in the central nervous system increased about two times faster than the number of serotonergic neurons in the raphe nuclei, due to a massive increase of serotonergic neurons in the hypothalamus. the present study shows that young, just differentiated raphe neurons already contain serotonin",316
" based on the electricity generation capacity of granites from soultz-sous-forets and cooper basin egs sites, the combined electricity generation capacity of kestanbol and kozak granite plutons is about 830 billion kwh. for the period extending from 2019 to 2023, turkey is aiming at reducing the usage of gas for electricity generation from 29",317
 the present study investigated the influence of a wide range of temperature regimes (∼7-40 °c) on pomegranates' aril anthocyanins. the study included two deciduous and two evergreen accessions as well as desert and mediterranean orchards,318
temporary clamping of the hepatoduodenal ligament (the pringle manoeuvre) is the most commonly used method to prevent intraoperative blood loss in liver surgery. some side effects of the pringle manoeuvre (pm) can occur,319
" mati (or matisma) is the sranan tongo word for women who have sexual relations with other women, but who typically also will have had or still have relationships with men, simultaneously. more often than not they will also have children",320
the relevance of consultants in restorative dentistry.,321
dentists providing anterior restorations are guided by the principles of anatomic tooth dimension. dental biometrics should consider ethnicity to produce a more comprehensive evaluation,322
" although counter-intuitive, such an approach exploits intrinsic and ubiquitous differences between normal and cancer cells. we discuss the background underlying this unconventional approach and how such intervention might address some current challenges in cancer therapy",323
field measurement of reflectance: some major considerations.,324
[tuberculosis screening: computer program development for the interpretation of the mantoux reaction in personnel at the geneva university hospitals].,325
intracellular study of ionic events underlying intestinal membrane transport of oligopeptides.,326
treatment of depression in the elderly. general clinical considerations.,327
 seven (70%) of the isolated tubal torsions were accompanied by paraovarian cysts. eight patients (80%) underwent open surgery and two (20%) underwent laparoscopic intervention,328
" in this review, recent developments in nano-delivery and formulation systems based on soft (i.e",329
" in cheesemaking replicate n. 2, <i>e",330
" furthermore, ring-b of pgs/tas can be substituted with short alkyl substitutions at either 4-position (replacement of ome) or 3- and 4-positions without impacting potency. eight representative tas and two pgs have been evaluated for antimalarial activity against multidrug-resistant p",331
" disruptions in their home and school routines, and restrictions accessing crucial healthcare services has had a significant impact.",332
" simian virus 40 (sv40)-derived gene delivery vectors were used because they transduce resting cd34+ cells very efficiently. rats received sv-(nef-flag), carrying flag marker epitope--or a control recombinant sv40 (rsv40)--directly into both femoral marrow cavities",333
elevated serum insulin-like growth factor (igf)-ii and igf binding protein-2 in patients with colorectal cancer.,334
 the subsequent sequencing of the ch and ck libraries yielded 40.2 and 62,335
" using eye signals as temporal markers, neural activity measured by functional magnetic resonance imaging (fmri) and near-infrared spectroscopy (nirs) was related to dreamed hand movements during lucid rem sleep. though preliminary, we provide first evidence that specific contents of rem-associated dreaming can be visualized by neuroimaging",336
a method for simultaneous positive and negative selection of cells identified by an antibody is described. it is an adaption of the panning technique using anti-benzene arsonate (ars)-coated petri dishes to select the ars-antibody-coated cells,337
[a method for reconstruction of the incisive border of the anterior teeth in children].,338
"0 ± 3.2% was achieved in test bioreactors within 7 d, with synchronous, complete removal of nitrate",339
"05). these changes in critical regional flow were accompanied by disproportionate increases in right atrial and intracranial pressures (relative to aortic pressure), which reduced the average pressure differences generated across the coronary and cerebral circulations from 11",340
" consistent with our hypothesis, cri detected central hypovolemia with significantly greater specificity than measures of tissue metabolism. single measurement of cri may enable more accurate triage, while cri monitoring may allow for earlier detection of casualty deterioration",341
" if the material presented in this work succeeds in promoting new research or possible preventive measures to arrest or to slow down the course of this condition in the elderly, it will hit its target.",342
" after a 3-h absorption period, cavh was begun from the femoral artery to femoral vein. deferoxamine was infused into the arterial lines of the cavh cartridge at increasing doses",343
a patient with sporotrichosis diagnosed by molecular biology combined with traditional methods.,344
" the gene expression showed that bpa (2&#160;mg/l) could affect the nuclear erythroid 2-related factor 2 (nrf2) signaling pathway, upregulate the gene expression of nrf2 and heme oxygenase 1 (ho-1). meanwhile, bpa was found to change the activity of na<sup>+</sup>/k<sup>+</sup> atpase, and increased the concentrations of na<sup>+</sup> and ca<sup>2+</sup> in gills of common carp",345
the effect of electrical stimulation on the distribution of labelled protein in isolated segments of rabbit vagus nerve.,346
" herein, we demonstrate ldw's ability to fabricate intricate 3d structures, essentially with ""printed macroporosity,"" and to precisely control structural composition by bottom-up fabrication in a bead-by-bead manner. the structural and compositional control afforded by this process enables the creation of a wide range of new constructs, with many potential applications in tissue engineering and regenerative medicine",347
" the present study was undertaken to compare the merits of fluorine-18 fluorodeoxyglucose positron emission tomography (fdg-pet), magnetic resonance imaging (mri) and single-voxel proton mr spectroscopy (mrs) for the lateralization of temporal lobe seizure foci. the clinical charts and imaging data of 43 consecutive cps patients were reviewed",348
3 months). 85,349
"both genetic and environmental factors contribute to autoimmune disease development. previously, we evaluated genetic factors in a humanized mouse model of hashimoto's thyroiditis (ht) by immunizing human leucocyte antigen dr3 (hla-dr3) and hla-dq8 transgenic class ii-knock-out non-obese diabetic (nod) mice",350
 rosetta ab initio simulations starting from an extended chain recapitulate two-thirds of the experimentally determined structures of membrane-spanning homo-oligomers with <2.5å root-mean-square deviation within the top-predicted five models (available online: http://tmhop,351
"the aim of the study was to analyze the changes in cardiac function and myocardial contractility of donor and recipient fetuses with twin-to-twin transfusion syndrome (ttts) subjected to selective laser photocoagulation of the communicating vessels (slpcv), between and after the procedure. finally, we verified if fetuses with quintero's stage i ttts presented with early impairment of myocardial contractility",352
"/24 h doses. in seven children (35%) no adverse effects of the treatment have been observed, whereas in 13 (65%) children various adverse effects occurred as a result of the therapy, such as rash (4 children), granulocytopenia with anemization (5 children) or liver impairment (4 children)",353
free radicals and other reactive species are constantly generated in vivo and cause oxidative damage to dna at a rate that is probably a significant contributor to the age-related development of cancer. agents that decrease oxidative dna damage should thus decrease the risk of cancer development,354
 it is concluded that when used for premedication to ether anesthesia dhb seems to lead to less postanesthetic nausea/vomiting than pentobarbital. further dhb seems able to reduce the incidence of nausea/vomiting after ether anesthesia roughly to the level of that seen after pentobarbital premedication for halothane anesthesia,355
" for motor performance, male survivors performed better with team care and female survivors with the traditional method. in terms of functional abilities, male patients receiving team care again performed better than their traditional counterparts, whereas in women there was no difference between the treatment groups",356
" in conclusion, the opposite effects of galanin on insulin and glucagon secretion favor the concept of galanin as a diabetogenic agent. galanin also behaves as a potent inhibitor of somatostatin release",357
" ammonia decreased the levels of glutamate in brain; they were partially restored by l-carnitine, which also reduced the increase in brain glutamine in animals given only ammonia. the redox state of the brain was altered following ammonia intoxication",358
"intermolecular (129)xe-(1)h nuclear overhauser effects and (129)xe longitudinal relaxation time measurements were used to demonstrate that the dipole-dipole coupling is the dominant relaxation mechanism for (129)xe in water, at room temperature. (129)xe-(1)h cross-relaxation rates were derived to be sigma(xeh) approximately 3",359
 the method showed acceptable precisions and recoveries with relative standard deviations of <10% for atp level and 1.38 % for im-1-2,360
" 3-phosphoinositide-dependent kinase 1(pdk1), an upstream protein of akt, regulates the activity of akt and its downstream kinases. the objective of this study is to explore the effect of pdk1 on malignant vascular tumors and their cell signaling mechanism in mice",361
" patients (<i>n</i> = 1,561) were enrolled into the prevention trial; 565 participated in the biomarker study with 122 recurrences among that group. assessing the association between recurrence and risk of gene methylation longitudinally for up to 48 months showed a 1",362
" further elucidation of the fundamental mechanisms suppressing juvenile growth is likely to yield important insights into the pathophysiology of childhood growth disorders and of the unrestrained growth of cancer. in addition, improved understanding of these growth-suppressing mechanisms may someday allow their therapeutic suspension in adult tissues to facilitate tissue regeneration",363
" through residual analysis, the errors in the substrate concentration data were found to be distributed log-normally, demonstrating a need for log transformation of this variable. the covariance between ln c and x was found to be small but significantly nonzero at the 67% confidence level for nph and at the 94% confidence level for 2mn",364
" nonopioid analgesics include non-acidic compounds, e. g",365
"this paper tracked hepatitis b patients from medan, indonesia to penang, malaysia under transnational medical care and has an understanding of their medical history and socioeconomic status. the condition of these patients improved as a result of good compliance with medical treatment, including lifestyle adjustment and regular medication",366
lingual tonsil lymphatic tissue regrowth in patients undergoing transoral robotic surgery.,367
" it is a multisystem disorder characterised by cognitive impairment, psychiatric manifestations, haematological manifestations and thromboembolic phenomena. its variable clinical presentation and wide age distribution at presentation necessitates a high index of diagnostic suspicion",368
" for the risk assessment of nanomaterials, there is need for a suitable dose metric that accounts for differences in effects between different sized nanoparticles of the same chemical composition. the aim of the present study is to determine the most suitable dose metric to describe the effects of silver nanoparticles after short-term inhalation",369
" this study aimed to characterise longevity and mortality in cats, and to identify important demographic risk factors for compromised longevity. crossbred cats were hypothesised to live longer than purebred cats",370
 elongated transgenic shoots were rooted in a medium containing 70 μm kanamycin. rooted plants were acclimatized following standard procedures,371
067) and ccat/enhancer-binding homologous protein (chop) content ( < 0.05) in the mesenteric fat compared with the con treatment,372
the effectiveness of cysteine hydrochloride (cys-hcl) as a preservative of ethylenethiourea (etu) in product matrixes and during analysis was studied. etu recoveries were adversely affected by certain product matrixes when fortified directly into the product,373
the efficacious use of acrylic bone cement in orthopaedic surgery [proceedings].,374
"the palpable thyroid nodules with a fine-needle aspiration (fna) diagnosis of microfollicular nodule or suspected cancer usually are excised; however, most of them are proved benign by postoperative histologic examination. we reviewed the clinical and pathologic data for patients with thyroid nodules with an fna diagnosis of microfollicular nodule or suspected cancer; nodules also were examined by large-needle aspiration biopsy (lnab) to assess whether the distinction achieved by lnab into pure microfollicular or mixed microfollicular-macrofollicular nodules could be used preoperatively to better predict malignancy",375
" dynamin-related protein 1 (drp-1) is believed to play a central role in this regulation. however, the underlying mechanism of drp-1 in ahl remains unclear",376
postmenopausal women with colles' fracture have lower values of bone mineral density than controls as measured by quantitative ultrasound and densitometry.,377
"07]) compared with a normotensive pregnancy history. when term and preterm preeclampsia were investigated separately, segments in women with a history of term preeclampsia had a lower risk of restenosis (predictor-accounted hr, 0",378
multiple parasitic infections in a cardiac transplant recipient.,379
" in addition, increased levels of sptrx-3, possibly caused by overexpression, are observed in morphologically abnormal human spermatozoa from infertile men. in addition, sptrx-3 is identified as a novel postobstruction autoantigen",380
" multivariable analysis was performed to compare treatment outcomes among three groups: 194, 130, and 115 patients in the non-operative, non-instrumented, and instrumented groups, respectively. the risk factors for adverse outcomes after surgical treatment were evaluated using a logistic regression model, and the estimates of the multivariable models were internally validated using bootstrap samples",381
novel kinase platform for the validation of the anti-tubercular activities of pelargonium sidoides (geraniaceae).,382
 echo-type percentages (%) were calculated from each scan. generalized estimating equations (gee) linear regression models evaluated echo-type % change (β) over the season (m1=reference),383
the effects on bone cells of metal ions released from orthopaedic implants. a review.,384
"bacterial communities play critical roles in biogeochemical cycles and serve as sensitive indicators of environmental fluctuation. however, the influence of mineral resource exploitation on shaping the bacterial communities in the urban river is still ambiguous",385
"a case control study was conducted in western kenya to determine the effect of socio-economic risk factors on the association between hiv-1 and tuberculosis. 144 sputum smear positive cases were matched on age, sex and neighbourhood status with 3 controls and were screened for hiv-1",386
"clonidine diminishes sympathetic nervous system activity via a central action. to test if the haemodynamic responses to ketamine, a centrally acting sympathomimetic drug, are attenuated by clonidine, we studied arterial pressure (ap) and heart rate (hr) changes after ketamine 1 mg kg-1 in 40 normotensive patients undergoing general anaesthesia",387
genetic improvement in south african livestock: can genomics bridge the gap between the developed and developing sectors?,388
 we evaluated the clinicopathologic and prognostic significance of tumor topo i and thymidylate synthase (ts) protein expression in postoperative nsclc patients.,389
gloom for whom?,390
" four sets of animals were used: (i) saline-saline; (ii) midazolam (0.03, 0",391
spinel co<sub>3</sub>o<sub>4</sub> nanomaterials for efficient and stable large area carbon-based printed perovskite solar cells.,392
"possible world has shown to be effective for handling various types of data uncertainty in uncertain data management. however, few uncertain data clustering and classification algorithms are proposed based on possible world",393
 imaging and detection of target sequences on a solid support further illustrates the potential of the new approach for high-throughput analysis.,394
there's no business like p53 business: nitric oxide regulates phosphorylation of p53 in chronic inflammatory disease.,395
" vestibular end organs were also transduced without affecting balance behavior. the synapsin promoter and the gfap promoter drove strong egfp expression in inner ear neurons and supporting cells, respectively",396
65 ng/ml (range: 0.37˜6,397
" the full-dose r-pa group had a significant il-6 increase after 48 h compared with the combination group. furthermore, the full-dose r-pa group showed a marked increase of il-10 (up to 3 h after) compared with a 41% il-10 decrease in the combination group",398
the effect of melatonin supplementation on the quality of sleep and weight status in postmenopausal women.,399
 i advise patients who are candidates for either type of procedure to weigh the prospect of urethral voiding (but enuresis with the ileal bladder) v a continent abdominal stoma that requires self-catheterization of variable difficulty with a cecoileal reservoir. the perfect urinary diversion does not exist,400
 am. chem,401
pl-7 positive antisynthetase syndrome and pulmonary hypertension.,402
to suggest that ongoing self-reflection sharpens clinical performance.,403
"01). more interestingly, we found that oral mucositis was more frequently reported in children with vascular anomalies than tuberous sclerosis complex",404
 the aim of this study was a prospective examination of the health-related quality of life (hrqol) in children with vur who have either been treated medically (antibiotics or surveillance) or by ureteral reimplant (ur) using a validated patient satisfaction survey.,405
"socolofsky, m. d",406
"antimicrobial, antioxidant and anticancer activities of zinc nanoparticles prepared by natural polysaccharides and gamma radiation.",407
" after pretreatment with the two higher doses of ritanserin, m-cpp decreased markedly bp and hr. these decreases were prevented by metergoline pretreatment",408
[ureteropelvic junction syndrome in adults. 108 cases in 102 adults].,409
" the purified tdsa absolutely required an oxidoreductase for its activity. this oxidoreductase (tdsd) was also purified to homogeneity, and its molecular size was calculated to be 50 kda and 25 kda by gel filtration and sds-page, respectively",410
" color recognition was accurate and above chance (fisher's exact test, p < 0.002)",411
"the purchase and consumption of conventional vegetables from wet markets in vietnam are like two sides of a coin: perceived food safety risks and perceived benefits. drawing on a sample of 463 hanoi consumers, this study employed a risk-benefit approach to analyze the purchase intention and consumption frequency of conventional vegetables at traditional markets",412
usefulness of swi for the detection of iron in the motor cortex in amyotrophic lateral sclerosis.,413
effect of peroxisome proliferator-activated receptor-alpha sirna on hypertension and renal injury in the rat following nitric oxide withdrawal and high salt diet.,414
g. the lowest switching current (down to 9&#8201;ma~2,415
" in both cases, [35s]cysteine-labeled beta-subunits were used as substrates to measure the conversion of the hcg-beta folding intermediate p beta 1 into p beta 2 and assembly of p beta 2 with urinary alpha. using the mutated substrates from chinese hamster ovary cells, it was found that 60% of wild-type p beta 1 (two n-linked glycans), 60% of p beta 1 missing the asn13-linked glycan, 40% of p beta 1 missing the asn30-linked glycan, and 10% of p beta 1 missing two n-linked glycans were converted to the corresponding p beta 2, respectively",416
" moreover, the situation where the ventilation system and air cleaner were operated simultaneously in the hospital ward was considered. it was discovered that operating the air cleaner close to the ventilation inlets in the absence of curtains helps to improve the indoor air quality",417
the metabolism of protogen in tetrahymena.,418
" arachidonic acid levels were reduced by 56% in gingiva and smsg of rats fed menhaden oil compared with the control rats fed the diet containing corn oil. the concentrations of pge2 in smsg and gingiva of rats fed the diet containing menhaden oil were reduced by 74% and 83%, respectively",419
" ruminal fluid ph, mean particle retention time, and particulate passage rate were not affected (p > .10) by sacahuiste, but ruminal fluid passage rate increased 1",420
"effect of dietary β-mannanase on productive performance, egg quality, and utilization of dietary energy and nutrients in aged laying hens raised under hot climatic conditions.",421
a new prognostic model based on albumin-bilirubin grade for hepatocellular carcinoma beyond the milan criteria.,422
" however, the regulatory requirements are lax and might undermine program efficacy in terms of both health gains and financial return. i propose a method for the government to support a best-practices approach by considering an accreditation or certification process",423
" we explored knowledge, beliefs about cancer, subjective health literacy, emotional attitudes to screening, and social influences among individuals invited to a population-based screening programme. regression modelling of a cross-sectional survey of 2299 individuals (users and non-users) of a population-based faecal immunochemical test (fit) screening programme in dublin was conducted",424
china-us trade spat could hit the environment.,425
"dementia is a chronic and evolutive disease, for which no curative treatment exists. evaluating the quality of life of patients suffering from dementia is therefore an important component of management",426
"antarctic fishes live at a constant temperature of -1.8 degrees c, in an oxygen-rich environment",427
" as the presence of an amiloride-insensitive component of short-circuit current in non-cf colon is largely due to electrogenic cl- secretion, the demonstration that this component was absent both in vivo and in vitro in cf colon establishes the presence of a defect in electrolyte transport in cf colon, a defect consistent with recent reports of absent electrogenic cl- secretion in cf intestine.",428
" both dimers also undergo photodissociation to quantitatively regenerate the parent monomers, in high quantum yield, 0.23 and 0",429
temporal and regional differences in brain concentrations of lithium in rats.,430
" however, several immunohistochemical studies have indicated that cd68 antibodies also react with other haematopoietic and non-haematopoietic cell types. we investigated the expression of cd68 in various primary cells and carcinoma cell lines using immunohistochemistry, flow cytometry, western blot analysis and qrt-pcr",431
" course instructors believed the training was beneficial to students and had opportunity to attract more students than currently enrolled these instructors placed a higher value on standardized teaching materials than on standardized testing procedures; they also supported the need for additional teaching aids, which included hands-on activities, videotapes, student workbooks, and dvds. study participants did not believe the program should be offered in its entirety as a self-study program but suggested that portions of the training could be offered in that manner the local instructors identified four primary issues that would increase the effectiveness of the dol tractor and machinery certification program: community awareness, employer support, access to teaching resources, and enforcement of the legislation",432
" an increased beak and expired air temperature during spinal heating suggest an importance of the increased carotid blood flow in maximizing heat dissipation during polypnoea. the results indicate that both the polypneic response and the increase in carotid blood flow are dependent on the same sensory input, namely the temperature of the spinal cord",433
" from the available clinical and experimental data, the deterioration of hepatocellular function associated with fibrosis may be ascribed, in part, to loss of the biologic support provided by a normal ecm.",434
n-terminal analysis of the proteins extracted from ox (bos taurus) erythrocyte membranes by dilute edta is used as a means of estimating the heterogeneity of the protein fractions. dinitrophenylation and dansylation reveal up to 8 different n-terminal amino acids in fractions with electrophoresis after dodecylsulphate treatment shows as having far fewer polypeptide chains,435
 this latter approach was used in 10 patients at our medical center. complete resolution of all visible 131i thyroid bed uptake was achieved in all when follow-up scans were performed 5 to 13 months later,436
a case of 74 years old male patient who underwent ralp with bladder neck reconstruction. persistent vesicourethral anastomotic leak was seen at cystography,437
the forensic resource/reference on genetics-knowledge base (frog-kb) web site <https://frog.med,438
atrioventricular pressures and their relationships during stellate stimulation.,439
"7-fold, suggesting that activity of mfo's paralleled the increase in cytochrome concentration. 3-mc pretreatment caused no significant increase in either size or number of cells in the fast-sedimenting fractions, but the discontinuity in density-volume characteristics which distinguished fast and slow sedimenting cells of untreated rats became marked",440
[the role of the kidney lymphatic capillaries in the pathogenesis of the nephrotic syndrome].,441
" in conclusion, during landing, the fly keeps accelerating towards the target and 'impinges' on the target on its legs, and the leg force, not aerodynamic force, is used to stop the insect's motion.",442
"the gh-2000 score has been developed as a powerful and unique technique for the detection of growth hormone misuse by sportsmen and women. the score depends upon the measurement of two growth hormone sensitive markers, insulin-like growth factor-i and the amino-terminal pro-peptide of type iii collagen",443
" three quizzes and a final examination were given in which student participants served as both control (individual assessments) and treatment (collaborative assessment). at the conclusion of the course, a questionnaire was administered to ascertain student perspectives",444
" the absolute nature of these needs is defended by appeal to: their objectivity (as against mind-dependence); the universality of the phenomenon of needing across the plant and animal kingdoms; the impossibility that biological needs depend wholly upon the exercise of the abilities characteristic of personal agency; the contention that the possession of biological needs is prior to the possession of the abilities characteristic of personal agency. finally, three philosophical usages of 'normative' are distinguished",445
" results showed that organic matter and mineral dust contributed to >40% of the aerosol absorption in the ultraviolet wavelengths. therefore, it is necessary to consider the absorption of organic matter and mineral dust in addition to that of elemental carbon",446
"to construct engineering peptide pheromonicin-clostrzaum tretant krn-ui), and to test its bactericidal activity.",447
 systemic lupus erythematosus should especially be considered if chorea begins in the older child or is associated with a persistently elevated erythrocyte sedimentation rate.,448
"rats emit distinct types of ultrasonic vocalizations (usv), which serve as situation-dependent affective signals with important communicative functions. low-frequency 22-khz usv typically occur in aversive situations, such as social defeat, whereas high-frequency 50-khz usv can be observed in appetitive situations, like rough-and-tumble-play in juveniles or mating in adults",449
novel method for preparing controllable and stable silver particle films for surface-enhanced raman scattering spectroscopy.,450
" the radiographic findings included: intersurface signs, defined as irregular interfaces between parenchyma, bronchi, vessels and visceral pleura, indicating interstitial abnormalities (hrct: 8 = 50%); septal thickening (kerley's lines) (chest film: 32 = 100%; hrct: 6 = 37%); reticular opacities (chest film: 24 = 75%; hrct: 6 = 37%); peribronchial cuffing (chest film: 2 = 6%; hrct: 0); interstitial nodules (chest film: 12 = 37%; hrct: 4 = 25%); alveolar nodules (chest film: 16 = 50%; hrct: 12 = 75%); consolidations (chest film: 20 = 62%; hrct: 12 = 75%); parenchymal masses (chest film: 2 = 6%; hrct: 2 = 12%); fibrosis (chest film: 24 = 75%; hrct: 16 = 100%); reduced lung volume (chest film: 14 = 43%; hrct: 4 = 25%); pleural effusion and/or thickening (chest film: 4 = 12%; hrct: 4 = 25%). the lesions were always localized in the lower lobes and often also in the upper lobes (chest film: 12 = 37%; hrct: 14 = 87%); in the latter site the lesions were smaller",451
" the virion protein vp16 activates transcription of the immediate-early (ie) genes by recruiting transcription activators and chromatin remodelers to their promoters. two ie proteins, icp0 and icp4 which modulate chromatin epigenetics, then activate transcription of early and late genes",452
lidocaine (xylocaine) for the relief of postoperative pain.,453
" tapert, rosemary fama, devin prouty, sandra a. brown, kevin cummins, wesley k",454
" baseline undernutrition has the mortality of children who had cd4 counts below a threshold, advanced who hiv clinical staging (iii and iv), and being severe stunting (haz &#8804; -3 z score) which were found to be independent predictors for mortality of undernourished hiv.",455
hammer in the heart on coronary angiography.,456
" in this manuscript, an alternative route has been developed to apply the multifunctional peptide amphiphile-rose bengal (rb) nanocapsules for noninvasive sonodynamic and photodynamic therapies in association with the targeted immune enhancement to tumor proliferation. the nanocapsules proved better rb loading capacity, comparable reactive oxygen species generation and improved b16 and hela cell killing capability",457
thalamic degeneration impacts multiple sclerosis (ms) prognosis.,458
 the objective of this study is thus to empirically analyze and model drivers' stop-line crossing time and speed in response to the specific phase transition period of fg and y. high-resolution trajectories for 1465 vehicles were collected at three rural high-speed intersections with a speed limit of 80 km/h and two urban intersections with a speed limit of 50 km/h in shanghai,459
 we sought to perform a meta-analysis to estimate the analgesic efficacy and relative complications of caudal block for hypospadias repair in children.,460
"serologic test for pseudomonas aeruginosa have been found useful for differentiating colonization from infection, especially in chronic disease. a western blot method was compared with the elisa used routinely",461
